# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,50.25,0.43,24,0,6.75,1.92
250,50.75,0.43,23.67,0.47,9.33,0.94
500,48,0.71,22.5,0.87,8.75,1.09
750,47.33,0.47,20.5,0.5,10.67,0.94
1000,47.5,0.5,21,0,8.5,0.5
1250,47.67,0.47,21,0,8.33,0.47
1500,49,0.71,23.5,0.87,13,2.12
1750,49,0.89,19.8,1.83,14.75,0.83
2000,46,0.82,21,0,14,0.82
2250,47.75,0.43,22.5,1.12,12.75,0.83
2500,48,0,23.75,0.43,16.75,2.17
2750,48,0,23.75,0.43,16.25,0.83
3000,48,0,24,0,15,0.71
3250,48,0,23.75,0.43,14.25,0.83
3500,48,0,23.33,0.47,13.67,0.47
3750,48,0,23.5,0.5,13,0.82
4000,48,0,24,0,13.5,0.5
4250,49,1,23.25,0.43,10,2.45
4500,50.75,0.43,23.5,0.5,12.75,0.83
4750,45.25,4.87,23.25,0.83,14.75,2.05
5000,37,0.82,24,0,17.75,0.43
5250,42.5,3.35,23.5,0.5,16.75,0.83
5500,48,0,21.75,0.43,19.5,1.12
5750,48,0,21,0,20,1.22
6000,48,0,21,0,20,0.71
6250,48,0,21,0,19.25,0.83
6500,48,0,21.5,0.5,18.5,0.5
6750,48,0,21.67,0.47,18.5,0.5
7000,48,0,22,0,18,0
7250,48,0,22.25,0.83,18.5,0.5
7500,48,0,21.25,0.43,19.25,1.3
7750,48,0,16.75,1.3,19.33,2.36
8000,48,0,16.5,0.5,21,0
8250,48,0,16,0.71,20.5,0.5
8500,48,0,16.33,0.47,17,1.22
8750,48,0,16.5,1.5,17,1.22
9000,48,0,17,1.22,17.5,0.5
9250,48,0,18,0,15.75,0.83
9500,48,0,18,0,14.5,0.87
9750,48,0,16.75,1.3,15.25,2.49
10000,48,0,14.5,0.5,19.75,1.3
10250,48,0,11.75,0.43,14.75,1.79
10500,48,0,9.75,0.83,14.25,0.83
10750,48,0,10,0.71,14.5,0.5
11000,48,0,8.75,0.43,13.25,0.83
11250,48,0,9,0,13.33,0.47
11500,48,0,9,0,14.33,0.94
11750,48,0,9.33,0.47,14.5,1.12
12000,48,0,4.33,3.4,17.75,1.09
12250,48,0,10,2.45,19,1
12500,47.5,1.5,10.75,1.64,18,1.22
12750,45.25,0.43,10,0.71,17.25,0.43
13000,45.25,0.43,12,0,17.33,0.47
13250,45,0,12.25,0.43,16.75,0.83
13500,45,0,9.75,0.43,17.6,0.8
13750,45.5,0.5,10.5,1.5,19.33,1.7
14000,45.5,0.5,22,2.12,19.25,2.28
14250,45.5,0.5,22.75,0.83,20.5,0.87
14500,45.33,0.47,21.25,0.43,21,0
14750,45.25,0.43,21,1.87,20.25,1.3
15000,45,0,16.67,8.5,17,0.71
15250,45,0,4.5,3.2,18,0.71
15500,45,0,11,0,17.25,0.83
15750,45.5,0.5,10.5,0.5,14.25,1.09
16000,45.5,0.5,16.5,3.84,14.33,1.89
16250,45,0,18.67,1.7,14.67,1.25
16500,45.25,0.43,12.5,0.87,17,0.71
16750,45.25,0.43,10,1,15.75,0.43
17000,45,0,5.5,1.12,18.75,0.83
17250,45,0,2.5,0.5,20,0
17500,45,0,1.67,0.47,20,0.82
17750,45,0,1.5,0.5,19.25,0.43
18000,45,0,3,0,17.75,0.83
18250,45.5,0.5,12,0,14.25,1.09
18500,45,0,11.67,0.47,13.25,1.09
18750,45,0,11.33,0.94,14.75,0.83
19000,45,0,9,0,15,0.71
